*ref00000 09:58:09.32 +02:06:13.9
@ob02882 09:58:40.5361 +02:14:47.469 -2.0
@ob00110 09:58:51.6364 +02:06:42.334 -2.0
@ob02883 09:58:51.7698 +02:06:46.334 -2.0
@ob00111 09:58:12.5821 +02:24:12.345 -2.0
@ob02884 09:58:12.7155 +02:24:16.345 -2.0
@ob00112 09:58:41.6569 +02:17:01.405 -2.0
@ob02885 09:58:41.7903 +02:17:05.405 -2.0
@ob00113 09:58:10.8525 +02:08:50.938 -2.0
@ob02886 09:58:10.9859 +02:08:54.938 -2.0
@ob00114 09:58:22.9963 +02:02:29.268 -2.0
@ob02887 09:58:23.1297 +02:02:33.268 -2.0
@ob00115 09:58:47.3379 +02:15:46.413 -2.0
@ob02888 09:58:47.4713 +02:15:50.413 -2.0
@ob00116 09:58:39.8954 +02:08:49.656 -2.0
@ob02889 09:58:40.0289 +02:08:53.656 -2.0
@ob00117 09:58:20.2958 +02:12:35.072 -2.0
@ob02890 09:58:20.4292 +02:12:39.072 -2.0
@ob00118 09:58:15.3919 +02:01:48.813 -2.0
@ob02891 09:58:15.5254 +02:01:52.813 -2.0
@ob00119 09:58:16.1761 +02:19:54.953 -2.0
@ob02892 09:58:16.3096 +02:19:58.953 -2.0
@ob00120 09:58:03.2560 +02:12:39.558 -2.0
@ob02893 09:58:03.3894 +02:12:43.558 -2.0
@ob00121 09:58:41.1859 +02:04:02.297 -2.0
@ob02894 09:58:41.3193 +02:04:06.297 -2.0
@ob00122 09:58:15.8227 +02:21:59.593 -2.0
@ob02895 09:58:15.9562 +02:22:03.593 -2.0
@ob00123 09:58:22.6966 +02:08:12.710 -2.0
@ob02896 09:58:22.8301 +02:08:16.710 -2.0
@ob00124 09:58:15.4431 +02:01:01.734 -2.0
@ob02897 09:58:15.5765 +02:01:05.734 -2.0
@ob00125 09:58:55.6738 +02:02:09.461 -2.0
@ob02898 09:58:55.8072 +02:02:13.461 -2.0
@ob00126 09:58:10.4051 +02:04:22.874 -2.0
@ob02899 09:58:10.5385 +02:04:26.874 -2.0
@ob00127 09:58:13.0737 +02:06:31.117 -2.0
@ob02900 09:58:13.2072 +02:06:35.117 -2.0
@ob00128 09:57:56.5601 +02:15:00.817 -2.0
@ob02901 09:57:56.6935 +02:15:04.817 -2.0
@ob00129 09:58:18.3848 +02:00:38.109 -2.0
@ob02902 09:58:18.5182 +02:00:42.109 -2.0
@ob00130 09:58:02.0290 +02:22:25.883 -2.0
@ob02903 09:58:02.1624 +02:22:29.883 -2.0
@ob00131 09:58:11.7541 +02:24:53.513 -2.0
@ob02904 09:58:11.8876 +02:24:57.513 -2.0
@ob00132 09:58:36.2941 +02:17:34.606 -2.0
@ob02905 09:58:36.4276 +02:17:38.606 -2.0
@ob00133 09:58:55.2850 +02:03:06.334 -2.0
@ob02906 09:58:55.4184 +02:03:10.334 -2.0
